"file","time","sat"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_1.ppltl","0.023958683013916016","1"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_2.ppltl","3.3454220294952393","1"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_3.ppltl","5.006821393966675","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_4.ppltl","5.005085229873657","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_5.ppltl","5.006983280181885","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_6.ppltl","5.00991415977478","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_7.ppltl","5.00579571723938","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_8.ppltl","to","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_9.ppltl","to","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_10.ppltl","to","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_11.ppltl","to","to"
"benchmarks/new/application/acacia_demo_v3_c/demo-v3_c_12.ppltl","to","to"
