"file","time","sat"
"benchmarks/new/application/alaska_lift/lift_2.ppltl","5.01010274887085","to"
"benchmarks/new/application/alaska_lift/lift_3.ppltl","5.0035176277160645","to"
"benchmarks/new/application/alaska_lift/lift_4.ppltl","5.003214359283447","to"
"benchmarks/new/application/alaska_lift/lift_5.ppltl","5.010188817977905","to"
"benchmarks/new/application/alaska_lift/lift_6.ppltl","5.010165214538574","to"
"benchmarks/new/application/alaska_lift/lift_7.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_8.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_9.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_10.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_11.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_12.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_13.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_14.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_15.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_16.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_17.ppltl","to","to"
"benchmarks/new/application/alaska_lift/lift_18.ppltl","to","to"
