"file","time","sat"
"benchmarks/new/application/alaska_lift_b/lift_b_2.ppltl","3.415454387664795","1"
"benchmarks/new/application/alaska_lift_b/lift_b_3.ppltl","5.010168552398682","to"
"benchmarks/new/application/alaska_lift_b/lift_b_4.ppltl","5.000578165054321","to"
"benchmarks/new/application/alaska_lift_b/lift_b_5.ppltl","5.001802921295166","to"
"benchmarks/new/application/alaska_lift_b/lift_b_6.ppltl","5.0021538734436035","to"
"benchmarks/new/application/alaska_lift_b/lift_b_7.ppltl","5.000240325927734","to"
"benchmarks/new/application/alaska_lift_b/lift_b_8.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_9.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_10.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_11.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_12.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_13.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_14.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_15.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_16.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_17.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b/lift_b_18.ppltl","to","to"
