"file","time","sat"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_2.ppltl","5.002917528152466","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_3.ppltl","5.008707761764526","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_4.ppltl","5.000991344451904","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_5.ppltl","5.007453918457031","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_6.ppltl","5.010292291641235","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_7.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_8.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_9.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_10.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_11.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_12.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_13.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_14.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_15.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_16.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_17.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_f_l/lift_b_f_l_18.ppltl","to","to"
