"file","time","sat"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_2.ppltl","5.006338357925415","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_3.ppltl","5.008667945861816","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_4.ppltl","5.001025915145874","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_5.ppltl","5.00572395324707","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_6.ppltl","5.009794235229492","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_7.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_8.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_9.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_10.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_11.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_12.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_13.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_14.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_15.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_16.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_17.ppltl","to","to"
"benchmarks/new/application/alaska_lift_b_l/lift_b_l_18.ppltl","to","to"
