"file","time","sat"
"benchmarks/new/application/alaska_lift_f/lift_f_2.ppltl","5.000784635543823","to"
"benchmarks/new/application/alaska_lift_f/lift_f_3.ppltl","5.001901388168335","to"
"benchmarks/new/application/alaska_lift_f/lift_f_4.ppltl","5.002676248550415","to"
"benchmarks/new/application/alaska_lift_f/lift_f_5.ppltl","5.008433103561401","to"
"benchmarks/new/application/alaska_lift_f/lift_f_6.ppltl","5.004978656768799","to"
"benchmarks/new/application/alaska_lift_f/lift_f_7.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_8.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_9.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_10.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_11.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_12.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_13.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_14.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_15.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_16.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_17.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f/lift_f_18.ppltl","to","to"
