"file","time","sat"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_2.ppltl","5.0067832469940186","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_3.ppltl","5.007948398590088","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_4.ppltl","5.0056657791137695","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_5.ppltl","5.0018534660339355","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_6.ppltl","5.001285552978516","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_7.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_8.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_9.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_10.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_11.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_12.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_13.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_14.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_15.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_16.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_17.ppltl","to","to"
"benchmarks/new/application/alaska_lift_f_l/lift_f_l_18.ppltl","to","to"
