"file","time","sat"
"benchmarks/new/application/alaska_lift_l/lift_l_2.ppltl","5.001203298568726","to"
"benchmarks/new/application/alaska_lift_l/lift_l_3.ppltl","5.007394313812256","to"
"benchmarks/new/application/alaska_lift_l/lift_l_4.ppltl","5.00574254989624","to"
"benchmarks/new/application/alaska_lift_l/lift_l_5.ppltl","5.006385326385498","to"
"benchmarks/new/application/alaska_lift_l/lift_l_6.ppltl","5.004748582839966","to"
"benchmarks/new/application/alaska_lift_l/lift_l_7.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_8.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_9.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_10.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_11.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_12.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_13.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_14.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_15.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_16.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_17.ppltl","to","to"
"benchmarks/new/application/alaska_lift_l/lift_l_18.ppltl","to","to"
