"file","time","sat"
"benchmarks/new/application/anzu_amba_cl/spec_cl_2.ppltl","5.000648021697998","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_3.ppltl","5.005417823791504","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_4.ppltl","5.008496046066284","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_5.ppltl","5.00345253944397","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_6.ppltl","5.007103443145752","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_7.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_8.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_9.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_10.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_11.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_12.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_13.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_14.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_15.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_16.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_17.ppltl","to","to"
"benchmarks/new/application/anzu_amba_cl/spec_cl_18.ppltl","to","to"
